experiment_name,algorithm,robot_count,total_communications,position_convergence_comm,position_convergence_iteration,position_convergence_time,position_convergence_ratio
grid_5_5_asapp_2025-08-10_16-00-58,asapp,5,5164,4887,2820.0,437.332,0.9464
grid_5_5_geodesic-mesa_2025-08-10_14-37-53,geodesic-mesa,5,3001,1370,1370.0,42.9464,0.4565
grid_5_5_dgs_2025-08-10_14-37-53,dgs,5,24008,4400,550.0,12.5682,0.1833
grid_6_6_asapp_2025-08-10_16-00-58,asapp,6,9102,8788,3470.0,553.974,0.9655
grid_6_6_geodesic-mesa_2025-08-10_15-05-02,geodesic-mesa,6,3601,2500,2500.0,202.829,0.6943
grid_6_6_dgs_2025-08-10_15-05-02,dgs,6,50414,8960,640.0,54.0772,0.1777
grid_7_7_asapp_2025-08-10_16-00-58,asapp,7,10333,10031,4070.0,668.023,0.9708
grid_7_7_dgs_2025-08-10_15-05-02,dgs,7,67216,10400,650.0,67.1528,0.1547
grid_7_7_geodesic-mesa_2025-08-10_15-05-02,geodesic-mesa,7,4201,2590,2590.0,247.201,0.6165
grid_8_8_asapp_2025-08-10_16-00-59,asapp,8,13809,12419,4270.0,723.539,0.8993
grid_8_8_geodesic-mesa_2025-08-10_15-05-03,geodesic-mesa,8,4801,3600,3600.0,403.105,0.7498
grid_8_8_dgs_2025-08-10_15-05-03,dgs,8,100821,13650,650.0,77.6714,0.1354
grid_9_9_dgs_2025-08-10_15-05-04,dgs,9,145827,17550,650.0,87.4533,0.1203
grid_9_9_asapp_2025-08-10_16-11-33,asapp,9,17392,16818,5210.0,875.284,0.967
grid_9_9_geodesic-mesa_2025-08-10_15-05-04,geodesic-mesa,9,5401,4640,4640.0,538.471,0.8591
grid_10_10_asapp_2025-08-10_16-11-33,asapp,10,21966,21251,5780.0,987.521,0.9674
grid_10_10_geodesic-mesa_2025-08-10_15-11-16,geodesic-mesa,10,6001,5430,5430.0,558.05,0.9048
grid_10_10_dgs_2025-08-10_15-11-16,dgs,10,198033,21780,660.0,58.5554,0.11
grid_11_11_geodesic-mesa_2025-08-10_15-11-38,geodesic-mesa,11,6601,6350,6350.0,620.813,0.962
grid_11_11_asapp_2025-08-10_16-14-30,asapp,11,26547,25394,6280.0,1072.9,0.9566
grid_11_11_dgs_2025-08-10_15-11-38,dgs,11,264040,26000,650.0,64.0107,0.0985
grid_12_12_dgs_2025-08-10_15-15-44,dgs,12,338447,30550,650.0,63.1434,0.0903
grid_12_12_geodesic-mesa_2025-08-10_15-15-44,geodesic-mesa,12,7201,6990,6990.0,630.166,0.9707
grid_12_12_asapp_2025-08-10_16-17-28,asapp,12,30767,28360,6590.0,1081.72,0.9218
grid_13_13_geodesic-mesa_2025-08-10_15-18-51,geodesic-mesa,13,7801,7770,7770.0,655.635,0.996
grid_13_13_dgs_2025-08-10_15-18-51,dgs,13,421254,35640,660.0,76.4936,0.0846
grid_13_13_asapp_2025-08-10_16-36-24,asapp,13,35637,33481,7280.0,1187.93,0.9395
grid_14_14_dgs_2025-08-10_15-25-17,dgs,14,478857,37050,650.0,61.8692,0.0774
grid_14_14_geodesic-mesa_2025-08-10_15-25-17,geodesic-mesa,14,8401,8270,8270.0,536.602,0.9844
grid_14_14_asapp_2025-08-10_16-36-25,asapp,14,37728,35696,7910.0,1295.89,0.9461
grid_15_15_geodesic-mesa_2025-08-10_14-48-50,geodesic-mesa,15,9001,8830,8830.0,560.898,0.981
grid_15_15_asapp_2025-08-10_18-52-47,asapp,15,41665,37791,8090.0,1298.51,0.907
grid_15_15_dgs_2025-08-10_14-48-50,dgs,15,567063,40950,650.0,49.0863,0.0722
