Algorithm,Robot_Count,Convergence_Communications,Convergence_Iterations,Convergence_Time_s,Final_Position_Error
CBS,5,200,65.0,0.7,0.018
CBS,6,240,54.0,1.45,0.018
CBS,7,338,70.0,2.74,0.018
CBS,8,414,64.0,4.6,0.018
CBS,9,592,80.0,6.74,0.018
CBS,10,880,120.0,9.5,0.018
CBS,11,960,121.0,10.58,0.018
CBS,12,1065,132.0,12.75,0.018
CBS,13,1542,169.0,16.93,0.018
CBS,14,1219,140.0,13.88,0.018
CBS,15,1943,210.0,21.9,0.015
asapp,5,4887,2820.0,437.332,0.0674372722212834
asapp,6,8788,3470.0,553.974,0.048813727014676
asapp,7,10031,4070.0,668.023,0.0411677103178862
asapp,8,12419,4270.0,723.539,0.0604743824231074
asapp,9,16818,5210.0,875.284,0.0231537304004883
asapp,10,21251,5780.0,987.521,0.0668230575075196
asapp,11,25394,6280.0,1072.9,0.0577569992929931
asapp,12,28360,6590.0,1081.72,0.0493809944552545
asapp,13,33481,7280.0,1187.93,0.0637425710189039
asapp,14,35696,7910.0,1295.89,0.0862710286166274
asapp,15,37791,8090.0,1298.51,0.2495835037898156
dgs,5,4400,550.0,12.5682,0.1232107996459582
dgs,6,8960,640.0,54.0772,0.1230224056978742
dgs,7,10400,650.0,67.1528,0.137967547447176
dgs,8,13650,650.0,77.6714,0.1227514698655116
dgs,9,17550,650.0,87.4533,0.1380926710765204
dgs,10,21780,660.0,58.5554,0.15529612881183
dgs,11,26000,650.0,64.0107,0.1786697751275259
dgs,12,30550,650.0,63.1434,0.2043151032456621
dgs,13,35640,660.0,76.4936,0.1980266657144586
dgs,14,37050,650.0,61.8692,0.3364833558424086
dgs,15,40950,650.0,49.0863,0.3529713892299332
geodesic-mesa,5,1370,1370.0,42.9464,0.0019785290441335
geodesic-mesa,6,2500,2500.0,202.829,0.0026766593698809
geodesic-mesa,7,2590,2590.0,247.201,0.004683034209256
geodesic-mesa,8,3600,3600.0,403.105,0.001343820496603
geodesic-mesa,9,4640,4640.0,538.471,0.001659566922278
geodesic-mesa,10,5430,5430.0,558.05,0.0010026822378018
geodesic-mesa,11,6350,6350.0,620.813,0.001560538969185
geodesic-mesa,12,6990,6990.0,630.166,0.0041201618135101
geodesic-mesa,13,7770,7770.0,655.635,0.0047122564023826
geodesic-mesa,14,8270,8270.0,536.602,0.0024621136661794
geodesic-mesa,15,8830,8830.0,560.898,0.0175338616799059
