algorithm,grid_size,robot_count,total_communications,final_position_error,final_rotation_error,position_convergence_comm,position_convergence_iter,position_convergence_time
CBS,-,15,12000,0.015,0.008,1943,210,21.9
CBS,-,14,10000,0.018,0.009,1219,140,13.88
CBS,-,13,10000,0.018,0.009,1542,169,16.93
CBS,-,12,10000,0.018,0.009,1065,132,12.75
CBS,-,11,10000,0.018,0.009,960,121,10.58
CBS,-,10,10000,0.018,0.009,880,120,9.5
CBS,-,9,10000,0.018,0.009,592,80,6.74
CBS,-,8,10000,0.018,0.009,414,64,4.6
CBS,-,7,10000,0.018,0.009,338,70,2.74
CBS,-,6,10000,0.018,0.009,240,54,1.45
CBS,-,5,10000,0.018,0.009,200,65,0.7
